"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count"
130,"-1:-1|1:0|2:-2",3,TRUE,1,2,0,"mixed",1.74754689570643,2.82842712474619,2.33333333333333,4,2,1.99180743660311,2,8,1
131,"-1:0|1:0|2:-2",3,TRUE,2,1,0,"mixed",1.60947570824873,2.82842712474619,2,4,2,1.98215370449869,2,8,1
132,"-1:-1|0:1|2:2",3,TRUE,1,2,0,"mixed",1.74754689570643,2.82842712474619,2.33333333333333,4,2,2.09053396114418,2,8,1
133,"-1:-2|1:0|2:2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,2.22750969699862,3,8,1
134,"-2:-1|1:0|2:-2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,1.99180743660311,2,8,1
135,"-2:-2|-1:0|2:0",3,TRUE,2,1,0,"mixed",1.94280904158206,2.82842712474619,2.33333333333333,4,2,2.0500938466243,3,8,1
136,"-1:-2|0:1|2:2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,2.12878317245756,3,8,1
137,"-2:-2|-1:0|2:2",3,TRUE,1,2,0,"mixed",2.21895141649746,2.82842712474619,3,4,2,2.18926048568524,2,8,1
138,"-2:-1|-1:-1|2:-2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,1.85483170074866,1,8,1
139,"-1:-1|-1:0|2:-2",3,TRUE,1,2,0,"mixed",1.74754689570643,2.82842712474619,2.33333333333333,4,2,1.88452263156088,2,8,1
140,"-2:-2|-1:1|0:2",3,TRUE,1,2,0,"mixed",2.08088022903976,2.82842712474619,2.66666666666667,4,2,2.02149836741533,2,8,1
141,"-1:-1|1:1|2:-2",3,TRUE,0,3,0,"diagonal_only",1.88561808316413,2.82842712474619,2.66666666666667,4,2,2.15956955487303,2,4,2
142,"-1:-1|0:1|2:-2",3,TRUE,1,2,0,"mixed",1.74754689570643,2.82842712474619,2.33333333333333,4,2,2.09053396114418,2,8,1
143,"-1:-1|-1:1|2:-2",3,TRUE,0,3,0,"diagonal_only",1.88561808316413,2.82842712474619,2.66666666666667,4,2,2.12022489195639,2,8,1
144,"-1:-2|1:-1|2:2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,2.19781876618641,3,8,1
145,"-1:-1|1:2|2:-2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,2.15956955487303,2,8,1
146,"-1:-1|0:2|2:-2",3,TRUE,1,2,0,"mixed",2.08088022903976,2.82842712474619,2.66666666666667,4,2,2.15847410326978,3,8,1
147,"-1:-1|-1:2|2:-2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,2.15847410326978,3,8,1
148,"-2:-2|-1:1|2:2",3,TRUE,0,3,0,"diagonal_only",2.35702260395516,2.82842712474619,3.33333333333333,4,2,2.15956955487303,2,4,2
149,"-2:-1|-1:0|2:-2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,1.95355822528973,1,8,1
150,"-2:-1|-2:0|2:-2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,1.95246277368648,2,8,1
151,"-1:0|1:-2|2:2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,2.18926048568524,2,8,1
152,"-1:-1|1:-2|2:2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,2.15956955487303,2,8,1
153,"-1:-2|1:-2|2:2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.15847410326978,3,8,1
154,"-2:-1|1:2|2:-2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.15956955487303,2,4,2
155,"-2:-1|0:2|2:-2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.25720062781084,3,8,1
156,"-2:-1|-1:2|2:-2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.19781876618641,3,8,1
157,"-2:-2|0:1|0:2",3,TRUE,2,1,0,"mixed",1.94280904158206,2.82842712474619,2.33333333333333,4,2,1.98215370449869,2,8,1
158,"-1:0|0:-1|2:2",3,TRUE,2,1,0,"mixed",1.60947570824873,2.82842712474619,2,4,2,1.98324915610194,2,4,2
159,"-1:-1|-1:0|2:2",3,TRUE,1,2,0,"mixed",1.74754689570643,2.82842712474619,2.33333333333333,4,2,1.98324915610194,2,8,1
160,"-1:-2|0:-1|2:2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,2.09053396114418,2,8,1
161,"-1:0|0:-2|2:2",3,TRUE,2,1,0,"mixed",1.94280904158206,2.82842712474619,2.33333333333333,4,2,2.18816503408199,3,8,1
162,"-1:-2|-1:0|2:2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,2.18816503408199,3,8,1
163,"-1:-1|0:-2|2:2",3,TRUE,1,2,0,"mixed",2.08088022903976,2.82842712474619,2.66666666666667,4,2,2.12022489195639,2,8,1
