"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count","gf2_rank","nullity","full_rank","reachable_states_log2","reachable_states","solutions_per_reachable_log2","solutions_per_reachable","distinct_move_rows","distinct_move_columns"
85,"-1:-1|0:2|2:2",3,TRUE,1,2,0,"mixed",2.08088022903976,2.82842712474619,2.66666666666667,4,2,2.21785596489421,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
86,"-1:-2|2:0|2:2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.35483170074866,4,8,1,24,1,FALSE,24,16777216,1,2,25,25
87,"-2:-2|-2:0|2:-2",3,TRUE,1,2,0,"mixed",2.55228474983079,2.82842712474619,3.33333333333333,4,2,2.14882037116536,3,8,1,20,5,FALSE,20,1048576,5,32,25,25
88,"-2:-1|2:-2|2:0",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,1.98215370449869,2,8,1,20,5,FALSE,20,1048576,5,32,25,25
89,"-2:-2|-2:0|2:0",3,TRUE,2,1,0,"mixed",2.2761423749154,2.82842712474619,2.66666666666667,4,2,2.01074918370766,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
90,"-1:-2|0:2|2:2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.11912944035314,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
91,"-2:-2|-2:0|2:2",3,TRUE,1,2,0,"mixed",2.55228474983079,2.82842712474619,3.33333333333333,4,2,2.21785596489421,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
92,"-1:-2|1:-1|2:-2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,2.02149836741533,2,8,1,24,1,FALSE,24,16777216,1,2,25,25
93,"-1:-2|0:-1|2:-2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,1.95246277368648,2,8,1,20,5,FALSE,20,1048576,5,32,25,25
94,"-1:-2|-1:-1|2:-2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,1.95246277368648,2,8,1,24,1,FALSE,24,16777216,1,2,25,25
95,"-2:-1|-1:-2|2:-2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.02149836741533,2,8,1,20,5,FALSE,20,1048576,5,32,25,25
96,"-1:-2|1:0|2:-2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,2.18816503408199,3,8,1,20,5,FALSE,20,1048576,5,32,25,25
97,"-1:-2|-1:0|2:-2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,2.14882037116536,3,8,1,20,5,FALSE,20,1048576,5,32,25,25
98,"-2:-1|-2:2|0:-2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.25610517620759,4,8,1,16,9,FALSE,16,65536,9,512,25,25
99,"-1:-2|2:-2|2:1",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.35483170074866,4,4,2,24,1,FALSE,24,16777216,1,2,25,25
100,"-1:-1|2:-2|2:1",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,2.25720062781084,3,8,1,16,9,FALSE,16,65536,9,512,25,25
101,"-1:-2|0:1|2:-2",3,TRUE,1,1,1,"mixed",2.02149836741533,2.82842712474619,2.66666666666667,4,2,2.18816503408199,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
102,"-1:-1|-1:2|2:2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,2.21785596489421,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
103,"-1:-2|2:-1|2:2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.29544983912422,4,8,1,24,1,FALSE,24,16777216,1,2,25,25
104,"-1:-2|2:-2|2:2",3,TRUE,0,2,1,"off_axis",2.63097407566406,2.82842712474619,3.66666666666667,4,2,2.18816503408199,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
105,"-1:-2|1:2|2:-2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.15847410326978,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
106,"-1:-2|0:2|2:-2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.11912944035314,3,8,1,20,5,FALSE,20,1048576,5,32,25,25
107,"-1:-2|-1:2|2:-2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.08943850954093,3,8,1,20,5,FALSE,20,1048576,5,32,25,25
108,"-2:-1|-2:2|2:-2",3,TRUE,0,2,1,"off_axis",2.63097407566406,2.82842712474619,3.66666666666667,4,2,2.12022489195639,2,8,1,24,1,FALSE,24,16777216,1,2,25,25
109,"-2:-2|-1:-1|2:-2",3,TRUE,0,3,0,"diagonal_only",2.35702260395516,2.82842712474619,3.33333333333333,4,2,1.95355822528973,1,8,1,24,1,FALSE,24,16777216,1,2,25,25
110,"-2:-2|-2:2|-1:0",3,TRUE,1,2,0,"mixed",2.21895141649746,2.82842712474619,3,4,2,2.02149836741533,2,4,2,24,1,FALSE,24,16777216,1,2,25,25
111,"-2:-2|-1:0|2:-2",3,TRUE,1,2,0,"mixed",2.21895141649746,2.82842712474619,3,4,2,2.12022489195639,2,8,1,16,9,FALSE,16,65536,9,512,25,25
112,"-1:-1|2:-2|2:2",3,TRUE,0,3,0,"diagonal_only",2.35702260395516,2.82842712474619,3.33333333333333,4,2,2.18926048568524,2,8,1,24,1,FALSE,24,16777216,1,2,25,25
113,"-1:0|2:-2|2:2",3,TRUE,1,2,0,"mixed",2.21895141649746,2.82842712474619,3,4,2,2.21895141649746,2,4,2,16,9,FALSE,16,65536,9,512,25,25
114,"-2:-2|-2:2|2:-2",3,TRUE,0,3,0,"diagonal_only",2.82842712474619,2.82842712474619,4,4,2,1.98324915610194,2,4,2,24,1,FALSE,24,16777216,1,2,25,25
